,Breed,Species,PetCount,AvgTotalClaims,AvgNumClaims,WeightedTotalClaims,WeightedNumClaims
75,Boxer,Dog,361,2076.6927146814423,4.099722991689751,749686.0700000006,1480.0
76,Boykin Spaniel,Dog,13,2102.5923076923073,3.6153846153846154,27333.699999999993,47.0
77,Bracco Italiano,Dog,2,264.755,1.0,529.51,2.0
78,Briard,Dog,7,406.2942857142857,0.7142857142857143,2844.06,5.0
79,British Longhair,Cat,2,0.0,0.0,0.0,0.0
80,British Shorthair,Cat,81,855.7495061728395,2.037037037037037,69315.70999999999,165.0
81,Brittany,Dog,28,1550.5849999999996,2.642857142857143,43416.37999999999,74.0
82,Brittany Spaniel,Dog,49,1049.484081632653,2.3469387755102042,51424.719999999994,115.00000000000001
83,Brussels Griffon Brabancon ,Dog,41,1999.970243902439,4.219512195121951,81998.78,173.0
84,Bull Boxer,Dog,7,2198.7557142857145,8.428571428571429,15391.29,59.0
85,Bull Terrier,Dog,27,2322.551481481482,4.185185185185185,62708.890000000014,113.0
86,Bull Terrier Standard,Dog,8,4403.1425,6.75,35225.14,54.0
87,Bullmastiff,Dog,27,2837.1192592592593,4.925925925925926,76602.22,133.0
88,Burmese,Cat,20,752.6674999999999,2.2,15053.349999999999,44.0
89,Cairn Terrier,Dog,75,1146.9273333333333,2.2933333333333334,86019.55,172.0
90,Canaan Dog,Dog,1,0.0,0.0,0.0,0.0
91,Canary,Dog,1,207.41,2.0,207.41,2.0
92,Cane Corso,Dog,88,2626.4424999999997,3.5795454545454546,231126.93999999997,315.0
93,Cardigan Welsh Corgi,Dog,28,1618.9764285714286,3.4285714285714284,45331.340000000004,96.0
94,Catahoula Cur Leopard Dog,Dog,56,1992.626964285714,2.9285714285714284,111587.10999999999,164.0
95,Caucasian Ovcharka,Dog,1,0.0,0.0,0.0,0.0
96,Cavalier King Charles Spaniel,Dog,655,1318.8786259541987,3.433587786259542,863865.5000000001,2249.0
97,Cavapoo,Dog,177,1427.9149717514124,3.2598870056497176,252740.94999999998,577.0
98,Central Asian Shepherd,Dog,3,5870.579999999999,11.0,17611.739999999998,33.0
99,Cesky Terrier,Dog,2,0.0,0.0,0.0,0.0
100,Chartreux,Cat,1,0.0,0.0,0.0,0.0
101,Chausie,Cat,1,331.74,1.0,331.74,1.0
102,Chesapeake Bay Retriever,Dog,32,1206.9256249999999,3.875,38621.619999999995,124.0
103,Chihuahua,Dog,552,922.8842572463769,1.9710144927536233,509432.11000000004,1088.0
104,Chihuahua Short Coat ,Dog,362,1027.3876243093923,2.24585635359116,371914.32,813.0
105,Chinese Crested,Dog,29,976.1462068965519,2.689655172413793,28308.240000000005,78.0
106,Chipom,Dog,11,2222.6890909090907,6.0,24449.579999999998,66.0
107,Chipoo,Dog,2,0.0,0.0,0.0,0.0
108,Chow Chow,Dog,31,1570.0693548387094,2.6129032258064515,48672.149999999994,81.0
109,Cirneco dell Etna,Dog,2,4855.72,10.5,9711.44,21.0
110,Clumber Spaniel,Dog,7,5779.530000000001,6.0,40456.71000000001,42.0
111,Cobber Dog,Dog,9,567.9388888888889,1.1111111111111112,5111.45,10.0
112,Cockapoo,Dog,413,1068.35774818402,2.883777239709443,441231.7500000003,1191.0
113,Cocker Spaniel,Dog,132,1468.7976515151515,4.7727272727272725,193881.29,630.0
114,Collie Rough,Dog,40,1406.1282500000002,4.05,56245.130000000005,162.0
115,Collie Smooth,Dog,17,1833.5811764705877,6.588235294117647,31170.87999999999,112.0
116,Colorpoint Shorthair,Cat,2,9806.425,4.0,19612.85,8.0
117,Coonhound,Dog,24,1022.805,2.3333333333333335,24547.32,56.0
118,Cornish Rex,Cat,11,858.5545454545453,1.8181818181818181,9444.099999999999,20.0
119,Coton de Tulear,Dog,115,1089.5814782608697,3.034782608695652,125301.87000000002,349.0
120,Curly Coated Retriever,Dog,2,324.37,3.0,648.74,6.0
121,Dachshund Standard Long Haired,Dog,85,738.3384705882353,1.6941176470588235,62758.77,144.0
122,Dachshund Standard Smooth Haired,Dog,168,1126.896785714286,2.113095238095238,189318.66000000003,355.0
123,Dachshund Standard Wire Haired,Dog,24,1576.12625,2.125,37827.03,51.0
124,Dalmatian,Dog,40,2107.4932500000004,3.925,84299.73000000001,157.0
125,Dandie Dinmont Terrier,Dog,3,1797.6266666666668,2.3333333333333335,5392.88,7.0
126,Devon Rex,Cat,28,1001.4860714285714,3.6785714285714284,28041.61,103.0
127,Dingo Carolina,Dog,6,4243.761666666666,5.666666666666667,25462.57,34.0
128,Doberman Pinscher,Dog,191,2678.7893193717273,5.157068062827225,511648.7599999999,985.0
129,Dogue de Bordeaux,Dog,12,6343.498333333333,8.5,76121.98,102.0
130,Domestic Longhair,Cat,385,1240.1636623376621,2.212987012987013,477463.0099999999,851.9999999999999
131,Domestic Mediumhair,Cat,551,746.4565335753175,1.5390199637023594,411297.54999999993,848.0
132,Domestic Shorthair,Cat,3511,776.1211364283672,1.5958416405582456,2724961.3099999973,5603.0
133,Donskoy,Cat,10,581.072,0.7,5810.72,7.0
134,Double Doodle,Dog,37,889.1218918918918,2.081081081081081,32897.509999999995,77.0
135,Doxiepoo,Dog,2,225.805,0.5,451.61,1.0
136,Drever,Dog,1,1943.25,8.0,1943.25,8.0
137,Dutch Sheepdog,Dog,1,0.0,0.0,0.0,0.0
138,Dutch Shepherd,Dog,22,607.9595454545454,1.6363636363636365,13375.109999999999,36.0
139,Egyptian Mau,Cat,10,414.631,1.0,4146.3099999999995,10.0
140,English Bulldog,Dog,481,3672.9796881496904,6.128898128898129,1766703.2300000011,2948.0
141,English Cocker Spaniel,Dog,32,1360.464375,5.40625,43534.86,173.0
142,English Foxhound,Dog,3,4200.486666666667,6.0,12601.46,18.0
143,English Mastiff,Dog,43,2661.577441860466,4.72093023255814,114447.83000000005,203.00000000000003
144,English Setter,Dog,52,1988.158846153846,3.6346153846153846,103384.26,189.0
145,English Shepherd,Dog,11,1400.57,2.1818181818181817,15406.269999999999,24.0
146,English Springer Spaniel,Dog,115,1553.498434782609,3.878260869565217,178652.32000000004,446.0
147,English Toy Spaniel,Dog,3,444.9433333333333,2.3333333333333335,1334.83,7.0
148,Entlebucher Mountain Dog,Dog,10,976.7900000000002,3.4,9767.900000000001,34.0
149,Eurasian Eurasier,Dog,1,725.4,4.0,725.4,4.0
150,Exotic Longhair,Cat,6,798.5733333333334,2.3333333333333335,4791.4400000000005,14.0
151,Exotic Shorthair,Cat,22,510.2236363636364,1.0454545454545454,11224.92,23.0
152,Feist,Dog,4,343.87,1.75,1375.48,7.0
153,Field Spaniel,Dog,5,1481.706,6.6,7408.53,33.0
154,Fila Brasileiro Brazillian Mastiff,Dog,1,0.0,0.0,0.0,0.0
155,Finnish Lapphund,Dog,1,3012.03,1.0,3012.03,1.0
156,Flat Coated Retriever,Dog,34,3547.1091176470586,3.7058823529411766,120601.70999999999,126.0
157,Formosan Taiwanese Mountain Dog,Dog,14,1573.0157142857145,3.0714285714285716,22022.22,43.0
158,Fox Terrier,Dog,5,2478.564,2.4,12392.82,12.0
159,French Bulldog,Dog,996,2693.14376506024,5.300200803212851,2682371.189999999,5279.0
160,Frenchton,Dog,49,1378.7440816326525,2.9183673469387754,67558.45999999998,143.0
161,Ganaraskan,Dog,1,884.56,6.0,884.56,6.0
162,German Pinscher,Dog,3,707.7199999999999,1.3333333333333333,2123.16,4.0
163,German Shepherd,Dog,1107,2094.85085817525,4.182475158084914,2318999.900000002,4630.0
164,German Shorthaired Pointer,Dog,168,1126.7629166666666,2.880952380952381,189296.16999999998,484.0
165,German Spitz,Dog,1,791.5,3.0,791.5,3.0
166,German Wirehaired Pointer,Dog,24,1142.81875,1.9583333333333333,27427.649999999998,47.0
167,Giant Schnauzer,Dog,25,986.5436000000002,2.28,24663.590000000004,56.99999999999999
168,Glen of Imaal Terrier,Dog,1,3536.82,2.0,3536.82,2.0
169,Golden Retriever,Dog,2025,1705.2033679012357,3.8069135802469134,3453036.820000002,7709.0
170,Goldendoodle,Dog,1867,1225.571917514729,3.072844134975897,2288142.769999999,5737.0
171,Gordon Setter,Dog,18,965.9705555555556,2.6666666666666665,17387.47,48.0
172,Great Dane,Dog,245,2930.9083265306135,4.326530612244898,718072.5400000003,1060.0
173,Greater Swiss Mountain Dog,Dog,40,2996.3849999999998,4.225,119855.4,169.0
174,Greyhound,Dog,64,1530.6471875,2.921875,97961.42,187.0
175,Havana Brown,Cat,1,2342.53,2.0,2342.53,2.0
176,Havana Silk,Dog,1,236.58,1.0,236.58,1.0
177,Havanese,Dog,557,1191.9514362657098,2.865350089766607,663916.9500000004,1596.0
178,Himalayan,Cat,43,1301.9202325581398,2.5348837209302326,55982.570000000014,109.0
179,Hovawart,Dog,2,3081.7349999999997,2.0,6163.469999999999,4.0
180,Ibizan Hound,Dog,1,0.0,0.0,0.0,0.0
181,Icelandic sheepdog,Dog,1,0.0,0.0,0.0,0.0
182,Irish Red and White Setter,Dog,5,2492.6800000000003,8.4,12463.400000000001,42.0
183,Irish Setter,Dog,33,2912.6615151515143,6.363636363636363,96117.82999999997,210.0
184,Irish Terrier,Dog,5,570.2180000000001,1.4,2851.09,7.0
185,Irish Water Spaniel,Dog,1,0.0,0.0,0.0,0.0
186,Irish Wolfhound,Dog,59,3604.366610169492,4.864406779661017,212657.63000000003,287.0
187,Italian Greyhound,Dog,80,2293.4941249999997,3.3125,183479.52999999997,265.0
188,Jack Russell Terrier,Dog,195,1822.4450769230766,4.035897435897436,355376.7899999999,787.0
189,Japanese Bobtail,Cat,3,34.90333333333333,0.3333333333333333,104.70999999999998,1.0
190,Japanese Chin Spaniel ,Dog,14,1067.9107142857142,2.5,14950.75,35.0
191,Japanese Spitz,Dog,1,0.0,0.0,0.0,0.0
192,Kai Ken,Dog,4,875.5074999999999,1.5,3502.0299999999997,6.0
193,Karelian Bear Dog,Dog,2,2304.75,1.0,4609.5,2.0
194,Keeshond,Dog,16,2031.7731250000002,1.75,32508.370000000003,28.0
195,Kerry Blue Terrier,Dog,4,1397.24,5.25,5588.96,21.0
196,Komondor,Dog,1,3179.65,7.0,3179.65,7.0
197,Kooikerhondje,Dog,5,1511.382,2.2,7556.91,11.0
198,Korat,Cat,4,271.515,0.5,1086.06,2.0
199,Korean Jindo,Dog,9,295.7611111111112,1.1111111111111112,2661.8500000000004,10.0
200,Kuvasz,Dog,5,4449.356,18.6,22246.78,93.0
201,LaPerm,Cat,1,4487.82,2.0,4487.82,2.0
202,Labradoodle,Dog,1090,1004.5775412844039,2.904587155963303,1094989.5200000003,3166.0000000000005
203,Labrador Retriever,Dog,2244,2045.4913992869883,3.801693404634581,4590082.700000002,8531.0
204,Lagotto Romagnolo,Dog,39,2248.124358974359,6.538461538461538,87676.85,255.0
205,Lakeland Terrier,Dog,5,3270.112,3.4,16350.560000000001,17.0
206,Landseer,Dog,2,1877.3400000000001,6.0,3754.6800000000003,12.0
207,Large Munsterlander,Dog,1,0.0,0.0,0.0,0.0
208,Leonberger,Dog,26,1546.9169230769226,4.576923076923077,40219.83999999999,119.0
209,Lhasa Apso,Dog,49,1076.6785714285716,2.3469387755102042,52757.25000000001,115.00000000000001
210,Long Haired Chihuahua,Dog,33,1338.9824242424243,2.606060606060606,44186.42,86.0
211,Lowchen,Dog,1,1409.9,3.0,1409.9,3.0
212,Lykoi,Cat,3,344.08,2.0,1032.24,6.0
213,Maine Coon,Cat,171,1537.8490643274852,2.2982456140350878,262972.18999999994,393.0
214,Malinois Belgian Shepherd,Dog,7,2946.804285714286,1.5714285714285714,20627.63,11.0
215,Maltese,Dog,378,1722.9030952380947,3.4576719576719577,651257.3699999998,1307.0
216,Maltipoo,Dog,381,1172.4608398950131,2.4803149606299213,446707.58,945.0
217,Manchester Terrier,Dog,5,505.63,2.2,2528.15,11.0
218,Manx,Cat,15,199.46266666666668,0.4,2991.94,6.0
219,Maremma,Dog,6,430.5316666666667,2.1666666666666665,2583.19,13.0
220,Mastiff,Dog,26,3498.422307692308,6.076923076923077,90958.98000000001,158.0
221,Mexican Hairless,Dog,3,389.7166666666667,2.0,1169.15,6.0
222,Mi Ki,Dog,6,7556.816666666668,21.5,45340.90000000001,129.0
223,Miniature Australian Shepherd,Dog,278,1020.5793165467624,2.3309352517985613,283721.04999999993,648.0
224,Miniature Bull Terrier,Dog,13,4949.283846153846,6.076923076923077,64340.689999999995,79.0
225,Miniature Goldendoodle,Dog,382,1029.5461256544506,3.0366492146596857,393286.62000000017,1160.0
226,Miniature Labradoodle,Dog,98,1062.9046938775512,3.4081632653061225,104164.66000000002,334.0
227,Miniature Long Haired Dachshund,Dog,209,912.3397129186606,1.4497607655502391,190679.00000000006,303.0
228,Miniature Pinscher,Dog,74,1198.5867567567568,2.7972972972972974,88695.42,207.0
229,Miniature Schnauzer,Dog,368,1001.6827445652174,2.0434782608695654,368619.25,752.0000000000001
230,Miniature Smooth Haired Dachshund,Dog,356,944.3258707865177,1.8567415730337078,336180.0100000003,661.0
231,Miniature Wire Haired Dachshund,Dog,26,1320.3846153846155,1.6153846153846154,34330.0,42.0
232,Mixed Breed,Cat,1541,853.588689162881,1.6210253082414017,1315380.1699999997,2498.0
233,Mixed Breed Giant,Dog,185,2320.675027027027,3.383783783783784,429324.88000000006,626.0
234,Mixed Breed Large,Dog,2302,1741.697771503041,3.5990443092962643,4009388.27,8285.0
235,Mixed Breed Medium,Dog,4653,1551.150808080806,3.22501611863314,7217504.709999991,15006.0
236,Mixed Breed Small,Dog,3350,1268.4045791044782,2.725373134328358,4249155.340000002,9130.0
237,Mixed Breed Unknown,Dog,771,1797.2848119325533,3.5395590142671853,1385706.5899999987,2729.0
238,Morkie,Dog,179,892.7010614525141,2.3240223463687153,159793.49000000002,416.00000000000006
239,Mountain Cur,Dog,4,198.6525,1.0,794.61,4.0
240,Mudi,Dog,2,1607.93,6.0,3215.86,12.0
241,Munchkin,Cat,10,319.07300000000004,2.1,3190.7300000000005,21.0
242,Native American Indian,Dog,15,1183.8980000000001,2.533333333333333,17758.47,38.0
243,Neapolitan Mastiff,Dog,4,1459.5375000000001,5.5,5838.150000000001,22.0
244,Nebelung,Cat,3,0.0,0.0,0.0,0.0
245,Newfoundland,Dog,107,3422.9891588785044,5.682242990654205,366259.83999999997,608.0
246,Norfolk Terrier,Dog,3,4465.363333333334,6.0,13396.09,18.0
247,Northern Inuit,Dog,7,176.01142857142858,0.5714285714285714,1232.0800000000002,4.0
248,Norwegian Buhund,Dog,1,0.0,0.0,0.0,0.0
249,Norwegian Elkhound,Dog,8,2746.2650000000003,8.25,21970.120000000003,66.0
250,Norwegian Forest,Cat,11,1140.530909090909,2.1818181818181817,12545.84,24.0
251,Norwich Terrier,Dog,12,679.9691666666666,1.1666666666666667,8159.629999999999,14.0
252,Nova Scotia Duck Tolling Retriever,Dog,55,1181.0520000000001,3.1272727272727274,64957.86000000001,172.0
253,Ocicat,Cat,4,631.8475000000001,1.75,2527.3900000000003,7.0
254,Old Boston Bulldogge,Dog,6,5110.556666666666,3.3333333333333335,30663.339999999997,20.0
255,Old English Mastiff,Dog,6,716.8683333333332,3.1666666666666665,4301.209999999999,19.0
