,Breed,Species,PetCount,AvgTotalClaims,AvgNumClaims,WeightedTotalClaims,WeightedNumClaims
332,Smooth Fox Terrier,Dog,4,141.02249999999998,0.75,564.0899999999999,3.0
333,Snoodle,Dog,11,296.6263636363637,1.2727272727272727,3262.890000000001,14.0
334,Snowshoe,Cat,9,1727.441111111111,2.111111111111111,15546.97,19.0
335,Soft Coated Wheaten Terrier,Dog,139,1395.2197841726618,3.2158273381294964,193935.55,447.0
336,Somali,Cat,1,0.0,0.0,0.0,0.0
337,Spanish Mastiff,Dog,1,1157.64,1.0,1157.64,1.0
338,Spanish Water Dog,Dog,6,1227.9183333333333,5.833333333333333,7367.51,35.0
339,Sphynx,Cat,156,1167.4412179487178,2.5256410256410255,182120.83,394.0
340,Spinone Italiano,Dog,16,1543.7218750000002,5.0625,24699.550000000003,81.0
341,Springer Spaniel,Dog,19,3134.7815789473684,4.947368421052632,59560.85,94.0
342,St Johns Waterdog,Dog,1,9868.48,16.0,9868.48,16.0
343,Stabyhoun Stabij ,Dog,2,1974.2399999999998,7.0,3948.4799999999996,14.0
344,Staffordshire Bull Terrier,Dog,42,2238.167619047619,4.380952380952381,94003.04000000001,184.00000000000003
345,Swedish Vallhund,Dog,2,0.0,0.0,0.0,0.0
346,Terrier,Dog,161,1090.5100621118013,2.6956521739130435,175572.12,434.0
347,Terripoo,Dog,3,285.60999999999996,0.6666666666666666,856.8299999999999,2.0
348,Tervuren Belgian Shepherd,Dog,9,696.4733333333334,1.6666666666666667,6268.26,15.0
349,Texas Blue Lacey,Dog,4,854.075,2.25,3416.3,9.0
350,Tibetan Mastiff,Dog,2,19668.195000000003,9.5,39336.39000000001,19.0
351,Tibetan Spaniel,Dog,8,972.975,2.625,7783.8,21.0
352,Tibetan Terrier,Dog,33,1090.350303030303,3.3636363636363638,35981.56,111.0
353,Tonkinese,Cat,11,1783.028181818182,2.272727272727273,19613.31,25.000000000000004
354,Tosa,Dog,1,0.0,0.0,0.0,0.0
355,Toy Australian Shepherd,Dog,17,344.0394117647059,1.7058823529411764,5848.67,29.0
356,Toy Fox Terrier,Dog,5,1144.222,1.8,5721.11,9.0
357,Toyger,Cat,1,554.35,2.0,554.35,2.0
358,Treeing Walker Coonhound,Dog,17,1409.3452941176467,5.0,23958.869999999995,85.0
359,Turkish Angora,Cat,6,188.96666666666667,0.3333333333333333,1133.8,2.0
360,Turkish Van,Cat,5,986.74,1.2,4933.7,6.0
361,Victorian Bulldog,Dog,9,1717.9633333333334,3.888888888888889,15461.67,35.0
362,Vizsla,Dog,97,1979.016907216494,5.11340206185567,191964.63999999993,495.99999999999994
363,Weimaraner,Dog,88,2503.948068181818,5.193181818181818,220347.43,457.0
364,Welsh Springer Spaniel,Dog,8,570.655,1.75,4565.24,14.0
365,Welsh Terrier,Dog,17,1655.1682352941177,4.647058823529412,28137.86,79.0
366,West Highland White Terrier,Dog,146,1444.2882191780823,3.73972602739726,210866.08000000002,546.0
367,Whippet,Dog,37,1084.6383783783785,2.7837837837837838,40131.62000000001,103.0
368,Wire Fox Terrier,Dog,14,2633.9142857142856,7.357142857142857,36874.799999999996,103.0
369,Wirehair Vizsla,Dog,6,4498.066666666667,9.5,26988.4,57.0
370,Wirehaired Pointing Griffon,Dog,36,842.6063888888889,1.4722222222222223,30333.83,53.0
371,Yorkiepoo,Dog,115,1350.4607826086956,2.739130434782609,155302.99,315.0
372,Yorkshire Terrier,Dog,779,1381.7101668806151,2.908857509627728,1076352.2199999993,2266.0
