,Species,Breed
2564,Dog,American Cocker Spaniel
2581,Dog,Mexican Hairless
2594,Dog,Bedlington Terrier
2601,Dog,Briard
2608,Dog,German Spitz
2642,Dog,Large Munsterlander
2684,Dog,Old English Mastiff
2694,Dog,Brussels Griffon (Brabancon)
2717,Dog,Flat-Coated Retriever
2804,Dog,Scottish Terrier
3035,Dog,Long Haired Chihuahua
3101,Dog,Dogue de Bordeaux
3122,Dog,Bull Boxer
3166,Dog,Boykin Spaniel
3182,Dog,Bouvier des Flandres
3267,Dog,Spinone Italiano
3320,Cat,Exotic Shorthair
3355,Dog,Poochon
3381,Dog,Redbone Coonhound
3411,Dog,Skye Terrier
3488,Dog,Neapolitan Mastiff
3516,Dog,Kerry Blue Terrier
3528,Dog,Pekingese
3638,Dog,Bearded Collie
3772,Dog,Toy Fox Terrier
3855,Dog,Welsh Springer Spaniel
3886,Cat,Snowshoe
3948,Dog,Australian Cattle Dog/Red Heeler
3970,Dog,Argentine Dogo
4079,Dog,Snoodle
4117,Dog,Norwich Terrier
4118,Dog,Mastiff
4168,Dog,Frenchton
4259,Dog,Malinois Belgian Shepherd
4264,Dog,Giant Schnauzer
4498,Cat,Tonkinese
4546,Dog,Bloodhound
4641,Dog,Old Victorian Bulldogge
4760,Dog,Brittany
4802,Cat,Cornish Rex
4841,Dog,Toy Australian Shepherd
4860,Dog,Patterdale/Fell Terrier
4998,Dog,Afghan Hound
5122,Dog,Blue Tick Coonhound
5559,Dog,Native American Indian
5597,Dog,Entlebucher Mountain Dog
5715,Dog,Black Russian Terrier
5729,Dog,Mountain Cur
5762,Dog,American Mastiff
5785,Dog,Berger Picard/Picardy Sheepdog
5916,Dog,Cobber Dog
5945,Dog,Manchester Terrier
6032,Dog,Australian Kelpie
6222,Dog,Old Boston Bulldogge
6247,Dog,American English Coonhound
6364,Dog,Norwegian Elkhound
6543,Dog,Polish Lowland Sheepdog
6552,Dog,Clumber Spaniel
6568,Dog,Boerboel
6858,Dog,Dingo/Carolina
6893,Dog,Spanish Mastiff
6904,Dog,Perro de Presa Canario
7155,Cat,Japanese Bobtail
7398,Dog,Mi-Ki
7610,Dog,Schipperke
7922,Cat,Savannah
8296,Dog,Basset Fauve de Bretagne
8379,Cat,Havana Brown
8529,Dog,Norfolk Terrier
8635,Dog,Coonhound
8698,Dog,Pudelpointer
9151,Dog,Dandie Dinmont Terrier
9259,Dog,German Pinscher
9312,Dog,Terripoo
9423,Dog,Wirehair Vizsla
9764,Dog,Prague Ratter
9861,Dog,Anatolian/Karabash Shepherd
9864,Dog,Landseer
9885,Dog,Kooikerhondje
9988,Dog,Stabyhoun (Stabij)
10118,Dog,Northern Inuit
10424,Dog,Saluki (Gazelle Hound)
10560,Dog,American Water Spaniel
10597,Dog,Tervuren Belgian Shepherd
10759,Dog,Irish Water Spaniel
10836,Dog,American Black and Tan Coonhound
10921,Dog,Kai Ken
11273,Cat,Bombay
11296,Cat,Turkish Angora
11390,Dog,Smooth Fox Terrier
11581,Dog,Scottish (Scottie)/Aberdeen Terrier
12063,Dog,Ibizan Hound
12079,Dog,Pomapoo
12113,Dog,Korean Jindo
12441,Cat,British Longhair
12513,Cat,Peterbald
12574,Dog,Plott
12662,Dog,Wire Fox Terrier
12787,Dog,Hovawart
13168,Dog,Cirneco dell'Etna
13521,Dog,Tibetan Mastiff
13614,Dog,Eurasian/Eurasier
13717,Dog,Affenpinscher
13906,Dog,Belgian Sheepdog
13915,Cat,Ocicat
14006,Dog,Australian Silky Terrier
14336,Dog,Aidi
14879,Dog,Tosa
15046,Dog,Borzoi/Russian Wolfhound
15075,Dog,Karelian Bear Dog
15628,Dog,Kuvasz
15930,Dog,Portuguese Podengo
15993,Dog,Black and Tan Coonhound
16032,Cat,Nebelung
16706,Cat,Chartreux
17369,Dog,Drever
17820,Dog,Irish Red and White Setter
18246,Dog,Puli
18778,Dog,Japanese Spitz
19156,Dog,Canary
19559,Dog,Otterhound
19707,Cat,Munchkin
20118,Dog,Caucasian Ovcharka
20420,Cat,Korat
20513,Dog,Bracco Italiano
20699,Dog,Swedish Vallhund
20828,Dog,Central Asian Shepherd
21348,Cat,LaPerm
21724,Cat,American Wirehair
21944,Dog,Pharaoh Hound
22339,Dog,Icelandic sheepdog
22388,Dog,American Bandogge Mastiff
23119,Cat,Lykoi
23560,Dog,Pumi
24253,Dog,Bavarian Mountain Hound
24356,Dog,Bergamasco Sheepdog
24413,Dog,Petit Basset Griffon Vendeen
25692,Dog,Appenzeller Sennenhunde
25968,Dog,Portuguese Water
26416,Dog,English Toy Spaniel
26542,Dog,Sealyham Terrier
27069,Dog,Cesky Terrier
27688,Cat,Singapura
28249,Dog,Australian Terrier
28330,Dog,Lowchen
28410,Dog,Peruvian Inca Orchid
28499,Cat,Toyger
28610,Dog,Havana Silk
28642,Dog,Chipoo
29326,Cat,Turkish Van
29949,Dog,Aussalier
30643,Dog,Shikoku
30682,Dog,St. Johns Waterdog
30928,Dog,Peekapoo
31982,Dog,Russian Bolonka
32460,Dog,Ganaraskan
32662,Dog,Finnish Lapphund
33276,Cat,Selkirk Rex
34351,Cat,Chausie
37186,Dog,Small Munsterlander
37757,Dog,Pyrenees Braque Francais
38037,Dog,Norwegian Buhund
38097,Cat,Somali
39421,Dog,Curly-Coated Retriever
39593,Dog,Australian Stumpy Tail Cattle
40302,Dog,Akbash Dog
41505,Dog,Doxiepoo
42551,Dog,Bantam Bulldog
42586,Cat,Colorpoint Shorthair
44255,Dog,Mudi
45243,Dog,American Hairless Terrier
45316,Dog,Canaan Dog
46407,Dog,Glen of Imaal Terrier
47271,Dog,Komondor
